Severity	Code	Description	Project	File	Line	Suppression State
Error		Error 6004: The table 'shiponline.dbo.typskip' is referenced by a relationship, but cannot be found.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Error		Error 6004: The table 'shiponline.dbo.mycomptele' is referenced by a relationship, but cannot be found.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Error		Error 6004: The table 'shiponline.dbo.compnotype' is referenced by a relationship, but cannot be found.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Error		Error 6004: The table 'shiponline.dbo.exname' is referenced by a relationship, but cannot be found.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Error		Error 6004: The table 'shiponline.dbo.mycomptele' is referenced by a relationship, but cannot be found.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Error		Error 6004: The table 'shiponline.dbo.comp_cat' is referenced by a relationship, but cannot be found.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Error		Error 6004: The table 'shiponline.dbo.comptele' is referenced by a relationship, but cannot be found.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Error		Error 6004: The table 'shiponline.dbo.shiptele' is referenced by a relationship, but cannot be found.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Error		Error 6004: The table 'shiponline.dbo.comptele' is referenced by a relationship, but cannot be found.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Error		Error 6004: The table 'shiponline.dbo.comp_cat' is referenced by a relationship, but cannot be found.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Error		Error 6004: The table 'shiponline.dbo.shiptele' is referenced by a relationship, but cannot be found.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6013: The table/view 'shiponline.dbo.mycomptele' does not have a primary key defined and no valid primary key could be inferred. This table/view has been excluded. To use the entity, you will need to review your schema, add the correct keys, and uncomment it.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.place' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6035: The relationship 'FK_mycompnos_mycompany' has columns that are not part of the key of the table on the primary side of the relationship. The relationship was excluded.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.nyinsus' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.role' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6035: The relationship 'FK_MyCompanyAdr_mycompany' has columns that are not part of the key of the table on the primary side of the relationship. The relationship was excluded.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6035: The relationship 'FK_area_nation' has columns that are not part of the key of the table on the primary side of the relationship. The relationship was excluded.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.myshipcontacts' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.teletype' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6013: The table/view 'shiponline.dbo.comptele' does not have a primary key defined and no valid primary key could be inferred. This table/view has been excluded. To use the entity, you will need to review your schema, add the correct keys, and uncomment it.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6035: The relationship 'FK_mycomanyremark_mycompany' has columns that are not part of the key of the table on the primary side of the relationship. The relationship was excluded.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.shiptype' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.myshipremark' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.mycomanyremark' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6013: The table/view 'shiponline.dbo.compnotype' does not have a primary key defined and no valid primary key could be inferred. This table/view has been excluded. To use the entity, you will need to review your schema, add the correct keys, and uncomment it.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6013: The table/view 'shiponline.dbo.comp_cat' does not have a primary key defined and no valid primary key could be inferred. This table/view has been excluded. To use the entity, you will need to review your schema, add the correct keys, and uncomment it.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.mycontacts' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.mycompnos' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.undept' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.mycontactremark' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.compnos' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.shires' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6035: The relationship 'FK_company_nation' has columns that are not part of the key of the table on the primary side of the relationship. The relationship was excluded.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.county' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6035: The relationship 'FK_shipcomp_ship' has columns that are not part of the key of the table on the primary side of the relationship. The relationship was excluded.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.shipcomp' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.nation' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.mycompany' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6002: The table/view 'shiponline.dbo.ship' does not have a primary key defined. The key has been inferred and the definition was created as a read-only table/view.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6013: The table/view 'shiponline.dbo.exname' does not have a primary key defined and no valid primary key could be inferred. This table/view has been excluded. To use the entity, you will need to review your schema, add the correct keys, and uncomment it.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6013: The table/view 'shiponline.dbo.typskip' does not have a primary key defined and no valid primary key could be inferred. This table/view has been excluded. To use the entity, you will need to review your schema, add the correct keys, and uncomment it.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
Warning		Error 6013: The table/view 'shiponline.dbo.shiptele' does not have a primary key defined and no valid primary key could be inferred. This table/view has been excluded. To use the entity, you will need to review your schema, add the correct keys, and uncomment it.	ShipOnline	C:\Users\Edgar\repos\ShipOnline\ShipOnline\ShipBaseDbContext.cs	1	
